,R_0,R_hsb,R_s,R_q,Abs_Benefit,Rel_Benefit,NNQ,obs_to_iso_q,Abs_Benefit_per_Qday,ks,d_inf,pi_t_triangle_center,T_lat_offset,dispersion,Setting,disease,Rel_Benefit_per_Qday,R0_Rs,R0_Rq
201,2.565,1.261,0.517,0.593,-0.076,-0.146,1,7.422,-0.01,0.063,10.644,0.074,0.926,1,HR,Ebola,-0.02,2.047,1.972
202,2.884,1.833,1.111,0.655,0.456,0.41,2.193,7.256,0.063,0.051,12.445,0.125,0.07,1,HR,Ebola,0.057,1.773,2.229
203,1.247,0.79,0.542,0.277,0.265,0.489,3.774,6.059,0.044,0.06,11.35,0.039,0.217,1,HR,Ebola,0.081,0.705,0.97
204,3.601,2.335,1.327,0.963,0.363,0.274,2.752,6.391,0.057,0.07,14.284,0.043,0.306,1,HR,Ebola,0.043,2.274,2.637
205,2.981,2.062,1.395,0.741,0.654,0.469,1.53,6.743,0.097,0.055,11.897,0,0.131,1,HR,Ebola,0.069,1.587,2.24
206,2.712,1.794,1.181,0.642,0.539,0.457,1.855,6.589,0.082,0.061,12.879,0,0.202,1,HR,Ebola,0.069,1.531,2.07
207,1.287,0.678,0.391,0.311,0.08,0.205,12.453,7.089,0.011,0.076,10.54,0.252,0.183,1,HR,Ebola,0.029,0.895,0.976
208,4.532,2.397,1.06,1.049,0.01,0.01,97.763,6.982,0.001,0.062,11.262,0.072,0.782,1,HR,Ebola,0.001,3.473,3.483
209,4.119,2.838,1.632,1.075,0.557,0.342,1.794,6.361,0.088,0.066,17.643,0.039,0,1,HR,Ebola,0.054,2.487,3.045
210,3.546,1.949,1.018,0.813,0.205,0.201,4.875,7.343,0.028,0.07,10.811,0,0.769,1,HR,Ebola,0.027,2.528,2.733
211,4.56,2.741,1.335,1.061,0.275,0.206,3.641,6.893,0.04,0.07,13.698,0.107,0.511,1,HR,Ebola,0.03,3.225,3.5
212,3.964,2.151,1.067,0.877,0.19,0.178,5.261,6.979,0.027,0.067,11.016,0.229,0.406,1,HR,Ebola,0.026,2.896,3.086
213,2.682,1.52,0.773,0.608,0.166,0.214,6.034,6.673,0.025,0.051,12.338,0.156,0.454,1,HR,Ebola,0.032,1.908,2.074
214,1.84,0.967,0.519,0.369,0.15,0.29,6.646,7.178,0.021,0.071,10,0.252,0.368,1,HR,Ebola,0.04,1.321,1.471
215,3.81,2.2,1.291,0.826,0.465,0.36,2.15,7.266,0.064,0.07,12.444,0.137,0.288,1,HR,Ebola,0.05,2.518,2.984
216,3.564,1.841,0.832,0.808,0.024,0.029,41.073,7.14,0.003,0.074,11.291,0.092,0.781,1,HR,Ebola,0.004,2.732,2.756
217,4.126,2.622,1.457,0.878,0.58,0.398,1.725,7.286,0.08,0.081,14.346,0.216,0.011,1,HR,Ebola,0.055,2.668,3.248
218,4.379,2.342,1.155,0.858,0.298,0.258,3.358,7.432,0.04,0.079,10.862,0.271,0.392,1,HR,Ebola,0.035,3.224,3.521
219,1.075,0.705,0.423,0.325,0.098,0.232,10.175,6.87,0.014,0.072,14.174,0.115,0.02,1,HR,Ebola,0.034,0.652,0.75
220,2.475,1.683,1.086,0.683,0.403,0.371,2.481,6.879,0.059,0.057,13.676,0.044,0.054,1,HR,Ebola,0.054,1.389,1.792
221,2.367,1.52,0.91,0.565,0.345,0.379,2.903,6.702,0.051,0.049,14.309,0.041,0.219,1,HR,Ebola,0.057,1.458,1.802
222,2.219,1.238,0.786,0.461,0.325,0.413,3.078,7.773,0.042,0.076,10,0.324,0.097,1,HR,Ebola,0.053,1.433,1.758
223,2.244,1.229,0.696,0.421,0.275,0.395,3.631,7.268,0.038,0.074,10.274,0.199,0.393,1,HR,Ebola,0.054,1.548,1.823
224,2.77,1.607,0.939,0.68,0.259,0.276,3.86,6.855,0.038,0.085,11.217,0.026,0.59,1,HR,Ebola,0.04,1.832,2.091
225,1.918,1.251,0.792,0.48,0.312,0.394,3.208,6.856,0.045,0.058,12.829,0.04,0.212,1,HR,Ebola,0.057,1.126,1.438
226,2.585,1.329,0.629,0.581,0.048,0.076,20.898,7.492,0.006,0.085,11.744,0.183,0.684,1,HR,Ebola,0.01,1.955,2.003
227,3.62,2.06,1.083,0.713,0.37,0.341,2.706,7.002,0.053,0.065,12.223,0.267,0.202,1,HR,Ebola,0.049,2.538,2.907
228,1.365,0.916,0.589,0.411,0.178,0.302,5.626,6.383,0.028,0.067,12.358,0.044,0.263,1,HR,Ebola,0.047,0.776,0.953
229,1.334,0.803,0.421,0.282,0.139,0.329,7.22,8.377,0.017,0.054,12.049,0.387,0,1,HR,Ebola,0.039,0.913,1.051
230,4.453,2.627,1.313,0.98,0.334,0.254,2.998,7.072,0.047,0.095,15.251,0.108,0.452,1,HR,Ebola,0.036,3.139,3.473
231,1.9,1.032,0.513,0.43,0.083,0.163,11.98,7.931,0.011,0.072,10,0.344,0.331,1,HR,Ebola,0.021,1.387,1.471
232,3.213,2.126,1.367,0.779,0.587,0.43,1.702,7.156,0.082,0.068,11.028,0.045,0.128,1,HR,Ebola,0.06,1.846,2.433
233,1.45,0.863,0.529,0.333,0.196,0.37,5.105,6.619,0.03,0.064,14.518,0,0.49,1,HR,Ebola,0.056,0.921,1.117
234,2.048,1.177,0.581,0.488,0.092,0.159,10.811,7.266,0.013,0.083,12.321,0.112,0.473,1,HR,Ebola,0.022,1.467,1.56
235,3.492,2.093,1.056,0.788,0.268,0.253,3.737,6.847,0.039,0.072,13.404,0.144,0.391,1,HR,Ebola,0.037,2.436,2.703
236,2.371,1.115,0.496,0.489,0.007,0.014,144.432,7.573,0.001,0.067,10.894,0.025,1.216,1,HR,Ebola,0.002,1.875,1.882
237,3.42,1.612,0.776,0.669,0.107,0.138,9.343,7.605,0.014,0.068,10,0.09,0.882,1,HR,Ebola,0.018,2.645,2.752
238,1.389,0.847,0.446,0.393,0.052,0.118,19.064,6.418,0.008,0.085,13.77,0.182,0.201,1,HR,Ebola,0.018,0.943,0.995
239,2.026,1.35,0.744,0.477,0.267,0.359,3.747,6.405,0.042,0.063,15.275,0.159,0,1,HR,Ebola,0.056,1.282,1.549
240,4.441,2.867,1.541,1.082,0.459,0.298,2.177,7.014,0.065,0.091,15.524,0.237,0,1,HR,Ebola,0.042,2.9,3.359
241,1.427,0.752,0.473,0.25,0.223,0.472,4.48,7.399,0.03,0.067,11.574,0.036,0.606,1,HR,Ebola,0.064,0.954,1.177
242,2.346,1.168,0.578,0.529,0.049,0.085,20.346,7.448,0.007,0.076,10.234,0,0.952,1,HR,Ebola,0.011,1.768,1.817
243,1.853,1.305,0.842,0.48,0.363,0.431,2.757,6.283,0.058,0.05,15.318,0,0,1,HR,Ebola,0.069,1.01,1.373
244,4.956,2.139,1.053,1.076,-0.023,-0.022,1,7.051,-0.003,0.08,10.183,0.028,1.336,1,HR,Ebola,-0.003,3.903,3.88
245,3.465,2.071,1.247,0.741,0.506,0.406,1.978,7.577,0.067,0.061,10.987,0.099,0.277,1,HR,Ebola,0.054,2.219,2.724
246,1.971,1.152,0.623,0.486,0.136,0.219,7.338,6.616,0.021,0.079,15.368,0,0.588,1,HR,Ebola,0.033,1.348,1.484
247,2.822,1.634,0.929,0.644,0.285,0.306,3.515,6.976,0.041,0.065,12.181,0.08,0.449,1,HR,Ebola,0.044,1.893,2.177
248,2.574,1.288,0.571,0.567,0.004,0.006,277.08,6.886,0.001,0.076,10,0.103,0.801,1,HR,Ebola,0.001,2.003,2.006
249,3.237,2.001,1.255,0.864,0.39,0.311,2.561,6.185,0.063,0.058,14.327,0,0.388,1,HR,Ebola,0.05,1.982,2.372
250,3.689,2.192,1.153,0.915,0.239,0.207,4.189,6.744,0.035,0.085,13.634,0.088,0.49,1,HR,Ebola,0.031,2.536,2.774
251,3.12,1.797,1.106,0.753,0.353,0.32,2.829,6.951,0.051,0.073,12.19,0.125,0.339,1,HR,Ebola,0.046,2.014,2.367
252,3.601,2.309,1.263,0.862,0.401,0.317,2.494,6.904,0.058,0.088,15.603,0.163,0.175,1,HR,Ebola,0.046,2.337,2.738
253,2.201,1.253,0.736,0.531,0.205,0.278,4.88,7.361,0.028,0.079,10.697,0,0.55,1,HR,Ebola,0.038,1.465,1.67
254,4.981,2.485,1.363,1.052,0.311,0.228,3.212,6.887,0.045,0.066,10.223,0.318,0.428,1,HR,Ebola,0.033,3.618,3.929
255,4.028,1.955,0.912,0.913,-0.001,-0.001,1,6.974,0.00E+00,0.068,11.673,0.063,0.906,1,HR,Ebola,0.00E+00,3.116,3.115
256,3.774,1.977,1.182,0.853,0.329,0.278,3.044,7.036,0.047,0.054,10.461,0.41,0.159,1,HR,Ebola,0.04,2.592,2.92
257,4.426,2.627,1.64,0.999,0.641,0.391,1.561,6.962,0.092,0.071,10.176,0.019,0.456,1,HR,Ebola,0.056,2.786,3.426
258,4.006,2.021,0.999,0.88,0.119,0.119,8.395,6.913,0.017,0.074,11.676,0.169,0.682,1,HR,Ebola,0.017,3.007,3.126
259,4.551,2.589,1.42,1.113,0.307,0.216,3.254,6.792,0.045,0.089,14.838,0.176,0.372,1,HR,Ebola,0.032,3.131,3.439
260,4.885,3.118,1.833,1.157,0.675,0.368,1.481,6.981,0.097,0.063,13.134,0.14,0.09,1,HR,Ebola,0.053,3.053,3.728
261,3.381,2.043,1.096,0.799,0.297,0.271,3.369,6.781,0.044,0.071,13.909,0.069,0.412,1,HR,Ebola,0.04,2.285,2.582
262,3.223,1.815,0.839,0.664,0.174,0.208,5.732,6.989,0.025,0.072,11.395,0.101,0.652,1,HR,Ebola,0.03,2.384,2.559
263,2.37,1.497,0.873,0.563,0.31,0.355,3.223,6.61,0.047,0.061,13.948,0.184,0.031,1,HR,Ebola,0.054,1.497,1.807
264,4.759,2.903,1.605,1.019,0.587,0.365,1.705,7.243,0.081,0.053,12.541,0.328,0,1,HR,Ebola,0.05,3.154,3.74
265,4.795,3.128,1.812,1.102,0.71,0.392,1.408,7.048,0.101,0.065,14.546,0,0.304,1,HR,Ebola,0.056,2.983,3.693
266,4.506,2.66,1.265,1.001,0.263,0.208,3.798,6.96,0.038,0.074,13.783,0.187,0.369,1,HR,Ebola,0.03,3.242,3.505
267,4.053,2.429,1.418,0.861,0.557,0.393,1.796,7.222,0.077,0.076,10.301,0.119,0.305,1,HR,Ebola,0.054,2.635,3.192
268,4.64,2.303,1.046,1.021,0.025,0.024,40.448,7.521,0.003,0.069,10.62,0.047,0.866,1,HR,Ebola,0.003,3.594,3.618
269,3.686,2.069,1.249,0.765,0.484,0.387,2.067,7.475,0.065,0.067,10.474,0.189,0.338,1,HR,Ebola,0.052,2.437,2.921
270,2.687,1.534,0.679,0.661,0.018,0.027,54.063,6.581,0.003,0.09,15.753,0.008,0.788,1,HR,Ebola,0.004,2.008,2.026
271,3.903,2.4,1.384,1.049,0.335,0.242,2.982,6.257,0.054,0.084,16.249,0.038,0.434,1,HR,Ebola,0.039,2.519,2.854
272,1.093,0.735,0.388,0.202,0.185,0.478,5.398,7.62,0.024,0.07,10.279,0.21,0.102,1,HR,Ebola,0.063,0.705,0.891
273,2.392,1.46,0.797,0.606,0.191,0.24,5.235,6.928,0.028,0.062,12.753,0.203,0.206,1,HR,Ebola,0.035,1.596,1.787
274,2.186,1.319,0.675,0.394,0.281,0.416,3.561,7.883,0.036,0.06,13.168,0.329,0.087,1,HR,Ebola,0.053,1.511,1.792
275,1.907,1.27,0.773,0.566,0.207,0.267,4.842,6.268,0.033,0.062,15.028,0.081,0,1,HR,Ebola,0.043,1.134,1.341
276,4.254,2.465,1.428,1.054,0.374,0.262,2.674,6.627,0.056,0.059,10.868,0.036,0.559,1,HR,Ebola,0.04,2.826,3.2
277,1.479,1.025,0.564,0.373,0.192,0.34,5.216,6.373,0.03,0.064,17.845,0.057,0.09,1,HR,Ebola,0.053,0.915,1.107
278,2.699,1.427,0.706,0.588,0.118,0.167,8.484,7.168,0.016,0.072,10,0.033,0.685,1,HR,Ebola,0.023,1.993,2.111
279,4.328,2.087,0.925,0.988,-0.062,-0.067,1,7.164,-0.009,0.063,10,0.006,0.907,1,HR,Ebola,-0.009,3.402,3.34
280,4.837,2.341,1.223,1.025,0.198,0.162,5.051,7.23,0.027,0.061,11.006,0.265,0.619,1,HR,Ebola,0.022,3.613,3.811
281,2.03,1.075,0.48,0.418,0.063,0.13,15.97,7.019,0.009,0.073,11.906,0.211,0.53,1,HR,Ebola,0.019,1.549,1.612
282,3.099,1.835,1.043,0.721,0.321,0.308,3.113,6.874,0.047,0.05,10.7,0.158,0.305,1,HR,Ebola,0.045,2.057,2.378
283,4.35,2.872,1.546,1.021,0.525,0.34,1.904,7.316,0.072,0.079,14.662,0.109,0.131,1,HR,Ebola,0.046,2.804,3.329
284,1.48,1.012,0.664,0.304,0.359,0.541,2.782,6.672,0.054,0.1,11.87,0.008,0.178,1,HR,Ebola,0.081,0.816,1.176
285,2.417,1.208,0.569,0.576,-0.007,-0.012,1,6.692,-0.001,0.086,11.063,0,0.96,1,HR,Ebola,-0.002,1.847,1.84
286,2.922,1.876,1.223,0.707,0.516,0.422,1.938,6.647,0.078,0.082,14.456,0.114,0.005,1,HR,Ebola,0.063,1.699,2.215
287,3.905,2.091,1.201,0.846,0.355,0.296,2.816,7.201,0.049,0.067,10.634,0.26,0.32,1,HR,Ebola,0.041,2.704,3.059
288,1.117,0.556,0.255,0.248,0.007,0.028,141.467,8.231,0.001,0.073,11.367,0.487,0.409,1,HR,Ebola,0.003,0.862,0.869
289,1.787,1.051,0.618,0.478,0.14,0.226,7.149,6.631,0.021,0.072,16.144,0,0.526,1,HR,Ebola,0.034,1.169,1.308
290,4.431,2.891,1.862,1.043,0.819,0.44,1.221,7.27,0.113,0.071,11.294,0.108,0.072,1,HR,Ebola,0.06,2.569,3.388
291,2.247,1.488,0.853,0.559,0.294,0.345,3.4,7.255,0.041,0.07,12.758,0.146,0.053,1,HR,Ebola,0.048,1.393,1.688
292,3.855,2.216,1.271,0.82,0.451,0.355,2.215,7.277,0.062,0.074,12.728,0.392,0,1,HR,Ebola,0.049,2.583,3.035
293,2.79,1.595,0.766,0.647,0.119,0.155,8.433,7.02,0.017,0.07,10.909,0.179,0.484,1,HR,Ebola,0.022,2.024,2.143
294,3.345,2.024,1.149,0.746,0.402,0.35,2.485,7.014,0.057,0.079,10,0.016,0.523,1,HR,Ebola,0.05,2.197,2.599
295,3.645,2.307,1.293,0.802,0.492,0.38,2.034,7.059,0.07,0.066,13.605,0.2,0,1,HR,Ebola,0.054,2.352,2.843
296,1.358,0.794,0.334,0.282,0.053,0.158,18.91,7.013,0.008,0.06,13.056,0.29,0.184,1,HR,Ebola,0.023,1.024,1.077
297,2.587,1.383,0.72,0.672,0.047,0.066,21.086,6.704,0.007,0.061,10,0.268,0.358,1,HR,Ebola,0.01,1.868,1.915
298,1.158,0.785,0.478,0.365,0.113,0.236,8.859,6.596,0.017,0.081,18.587,0,0.193,1,HR,Ebola,0.036,0.68,0.792
299,1.371,0.914,0.571,0.305,0.265,0.465,3.769,7.399,0.036,0.067,13.593,0,0.195,1,HR,Ebola,0.063,0.8,1.065
300,3.539,2.222,1.266,0.835,0.431,0.34,2.322,6.911,0.062,0.056,12.549,0.151,0.064,1,HR,Ebola,0.049,2.273,2.703
301,3.591,1.689,0.82,0.811,0.009,0.012,105.581,7.115,0.001,0.102,11.361,0.051,1.089,1,HR,Ebola,0.002,2.771,2.78
302,1.692,1.057,0.672,0.396,0.277,0.411,3.616,7.93,0.035,0.063,12.908,0.025,0.257,1,HR,Ebola,0.052,1.02,1.296
303,1.645,0.982,0.585,0.388,0.197,0.337,5.078,7.012,0.028,0.066,15.157,0.092,0.374,1,HR,Ebola,0.048,1.06,1.257
304,3.188,1.862,0.923,0.7,0.223,0.242,4.476,7.282,0.031,0.074,12.97,0.277,0.308,1,HR,Ebola,0.033,2.265,2.488
305,4.962,2.741,1.431,1.112,0.319,0.223,3.132,6.925,0.046,0.068,12.628,0.173,0.419,1,HR,Ebola,0.032,3.531,3.85
306,3.108,1.909,1.047,0.681,0.366,0.35,2.73,7.208,0.051,0.064,10.091,0.142,0.297,1,HR,Ebola,0.049,2.06,2.427
