,R_0,R_hsb,R_s,R_q,Abs_Benefit,Rel_Benefit,NNQ,obs_to_iso_q,Abs_Benefit_per_Qday,ks,d_inf,pi_t_triangle_center,T_lat_offset,dispersion,Setting,disease,Rel_Benefit_per_Qday,R0_Rs,R0_Rq
2750,3.916,2.551,1.279,0.791,0.489,0.382,2.047,8.38,0.058,0.059,19.572,0.275,-0.227,1,HR,Smallpox,0.046,2.637,3.125
2751,1.902,1.085,0.563,0.297,0.266,0.472,3.762,9.404,0.028,0.073,14.293,0.566,-0.166,1,HR,Smallpox,0.05,1.34,1.605
2752,2.019,1.209,0.469,0.394,0.075,0.16,13.352,8.895,0.008,0.077,16.545,0.04,0.662,1,HR,Smallpox,0.018,1.55,1.625
2753,1.98,1.293,0.692,0.424,0.269,0.388,3.719,8.37,0.032,0.111,18.62,0.536,-0.649,1,HR,Smallpox,0.046,1.287,1.556
2754,2.722,1.705,0.846,0.52,0.325,0.385,3.072,8.371,0.039,0.094,20.406,0.401,-0.258,1,HR,Smallpox,0.046,1.876,2.202
2755,3.952,2.741,1.662,0.714,0.948,0.57,1.055,9.027,0.105,0.081,14.149,0.699,-1.261,1,HR,Smallpox,0.063,2.29,3.238
2756,2.573,1.145,0.514,0.385,0.13,0.252,7.704,8.866,0.015,0.132,15.658,0.423,0.904,1,HR,Smallpox,0.028,2.058,2.188
2757,3.806,2.771,1.645,0.779,0.865,0.526,1.156,8.39,0.103,0.131,18.482,0.531,-1.667,1,HR,Smallpox,0.063,2.161,3.027
2758,2.924,2.169,1.221,0.638,0.583,0.478,1.715,7.608,0.077,0.117,25.074,0.449,-2.091,1,HR,Smallpox,0.063,1.703,2.286
2759,2.295,1.523,0.847,0.477,0.37,0.436,2.706,9.133,0.04,0.109,14.67,0.565,-0.75,1,HR,Smallpox,0.048,1.448,1.818
2760,2.737,0.538,0.502,0.571,-0.068,-0.136,1,9.199,-0.007,0.203,7.498,0.065,2.839,1,HR,Smallpox,-0.015,2.235,2.167
2761,2.527,1.733,1.032,0.55,0.481,0.467,2.077,8.179,0.059,0.12,17.788,0.031,-0.027,1,HR,Smallpox,0.057,1.495,1.977
2762,4.607,2,0.888,0.892,-0.004,-0.005,1,8.952,0,0.117,15.826,0.427,0.818,1,HR,Smallpox,-0.001,3.719,3.715
2763,2.83,2.13,1.164,0.682,0.482,0.414,2.074,7.493,0.064,0.111,22.469,0.57,-1.876,1,HR,Smallpox,0.055,1.666,2.149
2764,1.893,1.36,0.828,0.34,0.488,0.589,2.049,8.058,0.061,0.108,21.165,0.511,-1.635,1,HR,Smallpox,0.073,1.064,1.552
2765,1.188,0.486,0.288,0.2,0.088,0.306,11.319,9.341,0.009,0.09,11.961,0.557,0.527,1,HR,Smallpox,0.033,0.899,0.988
2766,2.514,1.691,0.827,0.567,0.26,0.315,3.843,7.66,0.034,0.097,22.76,0.346,-0.818,1,HR,Smallpox,0.041,1.687,1.947
2767,3.705,2.499,1.229,0.846,0.383,0.312,2.61,8.077,0.047,0.09,22.23,0.213,-0.167,1,HR,Smallpox,0.039,2.476,2.86
2768,1.011,0.589,0.243,0.122,0.12,0.496,8.311,9.526,0.013,0.067,14.749,0.591,-0.382,1,HR,Smallpox,0.052,0.768,0.888
2769,3.776,2.865,1.663,0.769,0.894,0.538,1.118,8.086,0.111,0.172,18.556,0.223,-0.944,1,HR,Smallpox,0.066,2.112,3.006
2770,2.062,0.999,0.326,0.459,-0.133,-0.409,1,8.032,-0.017,0.212,19.734,0.302,1.13,1,HR,Smallpox,-0.051,1.737,1.603
2771,3.207,1.595,0.613,0.616,-0.003,-0.005,1,8.168,0,0.068,14.111,0.011,1.367,1,HR,Smallpox,-0.001,2.594,2.591
2772,4.82,2.172,0.894,0.945,-0.051,-0.057,1,8.354,-0.006,0.137,14.796,0.258,1.095,1,HR,Smallpox,-0.007,3.926,3.874
2773,2.177,1.371,0.659,0.469,0.19,0.288,5.266,8.234,0.023,0.063,19.461,0.151,0.091,1,HR,Smallpox,0.035,1.517,1.707
2774,3.13,2.14,1.21,0.682,0.528,0.437,1.893,7.847,0.067,0.091,21.522,0.325,-0.867,1,HR,Smallpox,0.056,1.92,2.449
2775,4.877,2.473,0.935,0.979,-0.045,-0.048,1,8.063,-0.006,0.092,15.953,0.161,0.911,1,HR,Smallpox,-0.006,3.942,3.897
2776,1.938,1.073,0.693,0.34,0.353,0.51,2.831,9.688,0.036,0.161,9.142,0.872,-0.516,1,HR,Smallpox,0.053,1.244,1.598
2777,4.227,1.65,0.877,0.763,0.114,0.13,8.79,9.473,0.012,0.091,10.968,0.487,0.838,1,HR,Smallpox,0.014,3.35,3.464
2778,4.122,2.258,0.972,0.81,0.162,0.167,6.161,8.513,0.019,0.074,16.131,0.376,0.306,1,HR,Smallpox,0.02,3.15,3.312
2779,2.909,1.618,1.153,0.499,0.654,0.567,1.528,9.897,0.066,0.204,8.445,0.981,-0.604,1,HR,Smallpox,0.057,1.756,2.41
2780,4.458,2.101,0.839,0.834,0.005,0.006,199.064,9.055,0.001,0.12,12.331,0,1.238,1,HR,Smallpox,0.001,3.619,3.624
2781,2.883,2.025,1.099,0.631,0.468,0.426,2.136,7.598,0.062,0.091,22.199,0.303,-0.836,1,HR,Smallpox,0.056,1.785,2.253
2782,2.719,1.129,0.417,0.528,-0.111,-0.267,1,8.57,-0.013,0.097,13.295,0.293,1.142,1,HR,Smallpox,-0.031,2.302,2.191
2783,2.081,1.427,0.755,0.385,0.37,0.49,2.704,8.273,0.045,0.088,20.047,0.517,-1.282,1,HR,Smallpox,0.059,1.326,1.696
2784,4.499,3.207,1.795,0.941,0.855,0.476,1.17,7.952,0.107,0.154,18.081,0.16,-0.367,1,HR,Smallpox,0.06,2.704,3.559
2785,3.386,1.994,0.95,0.709,0.241,0.254,4.143,7.79,0.031,0.102,19.193,0.227,0.293,1,HR,Smallpox,0.033,2.436,2.678
2786,2.596,1.756,1.134,0.474,0.66,0.582,1.514,8.97,0.074,0.148,12.099,0.808,-1.34,1,HR,Smallpox,0.065,1.462,2.122
2787,2.795,2.1,1.221,0.534,0.687,0.563,1.455,7.987,0.086,0.103,20.385,0.508,-1.804,1,HR,Smallpox,0.07,1.574,2.261
2788,2.826,1.604,0.772,0.512,0.259,0.336,3.856,8.641,0.03,0.088,17.533,0.346,0.132,1,HR,Smallpox,0.039,2.054,2.313
2789,3.801,1.249,0.823,0.704,0.118,0.144,8.451,8.915,0.013,0.121,10.228,0.074,2.128,1,HR,Smallpox,0.016,2.979,3.097
2790,4.09,1.449,0.79,0.766,0.024,0.03,42.361,9.238,0.003,0.103,11.265,0.351,1.267,1,HR,Smallpox,0.003,3.3,3.324
2791,2.324,1.242,0.414,0.542,-0.128,-0.308,1,8.157,-0.016,0.151,10.727,0.02,0.839,1,HR,Smallpox,-0.038,1.91,1.782
2792,1.962,1.119,0.495,0.315,0.18,0.363,5.56,8.728,0.021,0.065,16.696,0.316,0.235,1,HR,Smallpox,0.042,1.468,1.647
2793,1.383,0.583,0.298,0.301,-0.002,-0.007,1,8.705,0,0.118,13.663,0.294,1.122,1,HR,Smallpox,-0.001,1.085,1.083
2794,3.754,2.105,1.021,0.793,0.228,0.223,4.384,8.97,0.025,0.063,13.952,0.404,0.159,1,HR,Smallpox,0.025,2.732,2.96
2795,1.35,0.831,0.49,0.172,0.318,0.648,3.149,8.961,0.035,0.204,9.872,0.686,-0.449,1,HR,Smallpox,0.072,0.86,1.178
2796,2.271,1.575,0.974,0.371,0.603,0.619,1.658,8.253,0.073,0.109,14.987,0.993,-2.02,1,HR,Smallpox,0.075,1.296,1.9
2797,3.196,1.654,0.544,0.627,-0.082,-0.151,1,8.536,-0.01,0.095,17.29,0.007,1.23,1,HR,Smallpox,-0.018,2.651,2.569
2798,1.992,1.051,0.495,0.458,0.037,0.075,26.771,8.348,0.004,0.103,17.478,0.471,0.122,1,HR,Smallpox,0.009,1.497,1.534
2799,2.848,1.533,0.729,0.564,0.165,0.226,6.061,9.24,0.018,0.21,9.872,0.166,0.528,1,HR,Smallpox,0.025,2.119,2.284
2800,4.618,3.377,1.942,1.04,0.902,0.465,1.109,7.535,0.12,0.165,18.648,0.119,-0.464,1,HR,Smallpox,0.062,2.676,3.578
2801,1.664,0.694,0.274,0.229,0.044,0.162,22.614,8.7,0.005,0.156,16.923,0.24,1.445,1,HR,Smallpox,0.019,1.39,1.434
2802,4.548,2.169,0.923,0.856,0.067,0.073,14.87,8.748,0.008,0.094,15.389,0.367,0.727,1,HR,Smallpox,0.008,3.625,3.693
2803,3.751,0.912,0.666,0.562,0.104,0.156,9.607,10.239,0.01,0.205,10.311,0.852,1.139,1,HR,Smallpox,0.015,3.085,3.189
2804,2.891,1.586,0.617,0.591,0.026,0.042,38.528,8.508,0.003,0.113,13.759,0.206,0.492,1,HR,Smallpox,0.005,2.275,2.301
2805,4.76,2.947,1.791,0.851,0.94,0.525,1.064,9.11,0.103,0.116,12.159,0.745,-0.877,1,HR,Smallpox,0.058,2.968,3.908
2806,4.521,1.694,0.813,0.843,-0.03,-0.036,1,9.295,-0.003,0.085,11.637,0.293,1.234,1,HR,Smallpox,-0.004,3.708,3.679
2807,4.797,2.89,1.449,0.95,0.498,0.344,2.006,8.17,0.061,0.082,20.633,0,0.575,1,HR,Smallpox,0.042,3.348,3.846
2808,4.226,2.641,1.298,0.878,0.42,0.324,2.381,8.376,0.05,0.062,19.585,0.082,0.292,1,HR,Smallpox,0.039,2.928,3.348
2809,3.097,1.853,0.726,0.571,0.155,0.214,6.444,8.206,0.019,0.117,20.948,0.032,0.61,1,HR,Smallpox,0.026,2.371,2.526
2810,3.012,2.135,1.398,0.599,0.799,0.572,1.251,8.645,0.092,0.168,15.17,0.875,-2.311,1,HR,Smallpox,0.066,1.614,2.413
2811,3.305,1.755,1.07,0.559,0.511,0.477,1.957,9.326,0.055,0.099,13.895,0.968,-0.567,1,HR,Smallpox,0.051,2.235,2.746
2812,4.587,3.157,1.546,1.024,0.522,0.338,1.914,8.049,0.065,0.098,19.74,0.256,-0.219,1,HR,Smallpox,0.042,3.041,3.564
2813,3.742,2.755,1.531,1.026,0.505,0.33,1.98,6.923,0.073,0.128,26.371,0.039,-0.292,1,HR,Smallpox,0.048,2.211,2.716
2814,3.583,1.673,0.774,0.733,0.04,0.052,24.817,8.954,0.005,0.109,16.144,0.387,0.746,1,HR,Smallpox,0.006,2.809,2.849
2815,3.966,2.355,1.008,0.77,0.238,0.236,4.207,8.3,0.029,0.058,19.642,0,0.748,1,HR,Smallpox,0.028,2.958,3.196
2816,3.242,1.907,1.061,0.606,0.455,0.429,2.199,8.375,0.054,0.148,13.842,0.015,0.465,1,HR,Smallpox,0.051,2.182,2.636
2817,4.416,2.589,1.293,0.862,0.43,0.333,2.324,8.65,0.05,0.101,15.645,0.309,-0.068,1,HR,Smallpox,0.038,3.123,3.554
2818,1.996,1.25,0.586,0.397,0.189,0.323,5.282,9.142,0.021,0.124,14.5,0.071,0.449,1,HR,Smallpox,0.035,1.41,1.599
2819,2.353,1.407,0.64,0.446,0.194,0.304,5.142,8.596,0.023,0.057,16.239,0.323,-0.012,1,HR,Smallpox,0.035,1.712,1.907
2820,2.998,1.779,0.815,0.625,0.19,0.233,5.262,8.315,0.023,0.087,18.459,0.357,0.103,1,HR,Smallpox,0.028,2.183,2.373
2821,1.603,0.789,0.293,0.271,0.021,0.073,46.949,9.175,0.002,0.078,13.018,0.359,0.526,1,HR,Smallpox,0.008,1.31,1.331
2822,4.013,2.553,1.408,0.781,0.627,0.445,1.596,8.153,0.077,0.088,17.631,0.551,-0.793,1,HR,Smallpox,0.055,2.605,3.232
2823,1.784,1.059,0.529,0.314,0.216,0.407,4.638,8.741,0.025,0.163,13.499,0,0.749,1,HR,Smallpox,0.047,1.255,1.47
2824,4.961,2.319,0.892,0.99,-0.098,-0.11,1,8.725,-0.011,0.069,14.984,0.259,0.864,1,HR,Smallpox,-0.013,4.069,3.971
2825,3.152,2.548,1.643,0.796,0.847,0.515,1.181,6.999,0.121,0.214,22.674,0.391,-2.595,1,HR,Smallpox,0.074,1.509,2.356
2826,2.695,1.903,1.207,0.585,0.622,0.515,1.608,8.199,0.076,0.185,14.364,0.999,-2.163,1,HR,Smallpox,0.063,1.488,2.11
2827,3.355,1.623,0.928,0.715,0.213,0.23,4.689,9.159,0.023,0.109,10.701,0.686,0.022,1,HR,Smallpox,0.025,2.427,2.64
2828,4.136,2.995,1.699,0.862,0.838,0.493,1.194,8.028,0.104,0.116,19.183,0.047,-0.204,1,HR,Smallpox,0.061,2.436,3.274
2829,3.837,2.719,1.569,0.9,0.669,0.427,1.494,7.259,0.092,0.101,26.714,0.162,-0.812,1,HR,Smallpox,0.059,2.267,2.937
2830,2.112,1.386,0.652,0.393,0.259,0.398,3.856,7.842,0.033,0.066,19.802,0.295,-0.317,1,HR,Smallpox,0.051,1.459,1.719
2831,2.45,1.441,0.818,0.504,0.314,0.384,3.185,8.943,0.035,0.112,12.171,0.562,-0.296,1,HR,Smallpox,0.043,1.632,1.946
2832,2.827,1.885,0.96,0.532,0.428,0.446,2.334,8.637,0.05,0.114,16.317,0.294,-0.373,1,HR,Smallpox,0.052,1.867,2.295
2833,2.208,1.097,0.401,0.484,-0.083,-0.208,1,7.893,-0.011,0.089,13.616,0.23,0.855,1,HR,Smallpox,-0.026,1.807,1.724
2834,2.113,1.673,1.004,0.585,0.419,0.417,2.388,7.103,0.059,0.175,24.4,0.501,-2.927,1,HR,Smallpox,0.059,1.109,1.528
2835,1.643,0.722,0.472,0.22,0.252,0.533,3.971,9.458,0.027,0.076,11.956,0.627,0.326,1,HR,Smallpox,0.056,1.17,1.422
2836,4.355,3.09,1.771,0.877,0.894,0.505,1.118,8.678,0.103,0.158,15.008,0.479,-0.917,1,HR,Smallpox,0.058,2.584,3.478
2837,3.864,1.557,0.784,0.721,0.064,0.081,15.718,9.105,0.007,0.104,12.45,0.262,1.282,1,HR,Smallpox,0.009,3.079,3.143
2838,2.209,1.473,0.697,0.444,0.252,0.362,3.967,8.001,0.032,0.072,20.517,0.19,-0.091,1,HR,Smallpox,0.045,1.513,1.765
2839,2.083,1.215,0.527,0.45,0.077,0.146,13.019,7.951,0.01,0.066,18.648,0.199,0.256,1,HR,Smallpox,0.018,1.556,1.633
2840,3.806,2.651,1.522,0.79,0.732,0.481,1.366,8.149,0.09,0.135,16.67,0.18,-0.378,1,HR,Smallpox,0.059,2.284,3.016
2841,1.072,0.692,0.323,0.182,0.14,0.435,7.124,8.477,0.017,0.081,21.256,0.139,0.042,1,HR,Smallpox,0.051,0.75,0.89
2842,3.111,1.47,0.665,0.621,0.044,0.066,22.704,8.86,0.005,0.072,13.519,0.39,0.573,1,HR,Smallpox,0.007,2.446,2.49
2843,3.075,0.435,0.594,0.523,0.071,0.12,14.043,10.042,0.007,0.198,6.945,0.671,2.356,1,HR,Smallpox,0.012,2.481,2.552
2844,4.787,1.75,0.969,0.893,0.076,0.079,13.099,9.053,0.008,0.142,13.386,0.399,1.379,1,HR,Smallpox,0.009,3.818,3.894
2845,2.361,1.507,0.858,0.493,0.364,0.425,2.745,8.773,0.042,0.087,14.327,0.609,-0.665,1,HR,Smallpox,0.048,1.504,1.868
2846,2.999,1.381,0.597,0.628,-0.031,-0.052,1,8.07,-0.004,0.076,12.777,0,1.3,1,HR,Smallpox,-0.006,2.402,2.371
2847,4.708,1.877,0.912,0.899,0.013,0.014,77.352,9.067,0.001,0.098,11.595,0.433,0.953,1,HR,Smallpox,0.002,3.796,3.809
2848,1.451,0.468,0.383,0.232,0.151,0.395,6.616,10.273,0.015,0.119,8.763,1,0.14,1,HR,Smallpox,0.038,1.068,1.219
2849,1.19,0.57,0.132,0.228,-0.096,-0.728,1,8.481,-0.011,0.116,17.319,0.118,1.252,1,HR,Smallpox,-0.086,1.058,0.962
2850,4.014,1.673,1.04,0.75,0.29,0.279,3.449,9.824,0.03,0.085,11.471,0.986,-0.129,1,HR,Smallpox,0.028,2.974,3.264
2851,1.422,0.848,0.406,0.289,0.117,0.288,8.566,8.722,0.013,0.073,15.463,0.42,0.135,1,HR,Smallpox,0.033,1.017,1.134
2852,4.646,3.327,1.787,0.996,0.791,0.443,1.264,8.195,0.097,0.133,16.973,0.161,-0.377,1,HR,Smallpox,0.054,2.859,3.65
2853,3.5,2.295,1.291,0.7,0.59,0.457,1.694,8.341,0.071,0.066,16.704,0.636,-0.991,1,HR,Smallpox,0.055,2.209,2.8
2854,1.832,1.061,0.445,0.38,0.065,0.147,15.341,7.827,0.008,0.095,19.096,0.227,0.399,1,HR,Smallpox,0.019,1.387,1.452
2855,2.858,1.484,0.712,0.547,0.164,0.231,6.082,8.131,0.02,0.097,16.693,0.363,0.276,1,HR,Smallpox,0.028,2.146,2.311
2856,3.964,2.732,1.384,0.832,0.552,0.399,1.811,7.878,0.07,0.08,19.523,0.346,-0.615,1,HR,Smallpox,0.051,2.58,3.133
2857,4.751,2.183,1.019,0.914,0.105,0.103,9.54,9.614,0.011,0.121,10.764,0.392,0.571,1,HR,Smallpox,0.011,3.732,3.837
2858,3.847,2.337,1.279,0.719,0.56,0.438,1.785,8.498,0.066,0.077,16.966,0.553,-0.515,1,HR,Smallpox,0.052,2.568,3.128
2859,4.233,2.538,1.374,0.752,0.622,0.453,1.608,8.994,0.069,0.057,14.01,0.584,-0.332,1,HR,Smallpox,0.05,2.859,3.481
2860,2.458,1.167,0.5,0.492,0.008,0.016,128.286,8.796,0.001,0.099,13.152,0.338,0.934,1,HR,Smallpox,0.002,1.958,1.966
2861,2.675,1.059,0.716,0.493,0.222,0.31,4.502,10.322,0.022,0.166,7.905,0.951,0.046,1,HR,Smallpox,0.03,1.959,2.181
2862,3.733,2.317,1.165,0.757,0.409,0.351,2.447,8.356,0.049,0.068,19.238,0.296,-0.072,1,HR,Smallpox,0.042,2.568,2.977
2863,2.639,1.333,0.854,0.413,0.441,0.516,2.266,9.845,0.045,0.078,11.643,0.803,-0.231,1,HR,Smallpox,0.052,1.784,2.225
2864,1.424,0.65,0.222,0.219,0.004,0.016,274.5,8.927,0,0.142,17.629,0.329,0.957,1,HR,Smallpox,0.002,1.202,1.206
2865,3.215,2.398,1.379,0.851,0.528,0.383,1.894,6.914,0.076,0.119,30,0,-0.558,1,HR,Smallpox,0.055,1.837,2.365
2866,2.354,1.214,0.475,0.495,-0.02,-0.043,1,8.166,-0.002,0.094,17.031,0.211,0.696,1,HR,Smallpox,-0.005,1.879,1.859
2867,4.533,2.458,1.278,0.811,0.467,0.365,2.141,8.864,0.053,0.088,13.723,0.367,0.257,1,HR,Smallpox,0.041,3.255,3.722
2868,3.806,2.024,0.786,0.745,0.041,0.052,24.261,9.096,0.005,0.063,14.647,0.33,0.481,1,HR,Smallpox,0.006,3.02,3.061
2869,3.259,1.736,0.686,0.64,0.046,0.067,21.636,9.19,0.005,0.202,9.994,0.025,0.863,1,HR,Smallpox,0.007,2.573,2.62
2870,4.722,3.399,1.933,1.015,0.917,0.475,1.09,7.703,0.119,0.164,19.465,0.136,-0.455,1,HR,Smallpox,0.062,2.789,3.707
2871,1.582,0.895,0.326,0.241,0.085,0.261,11.759,9.061,0.009,0.078,13.62,0.357,0.182,1,HR,Smallpox,0.029,1.256,1.341
2872,4.821,3.283,1.732,0.984,0.748,0.432,1.337,8.412,0.089,0.06,20.199,0.141,-0.204,1,HR,Smallpox,0.051,3.089,3.838
2873,2.712,1.559,0.615,0.471,0.144,0.234,6.958,8.181,0.018,0.091,20.08,0.016,0.864,1,HR,Smallpox,0.029,2.097,2.24
2874,3.766,1.801,0.795,0.644,0.151,0.19,6.618,9.366,0.016,0.091,12.247,0.557,0.347,1,HR,Smallpox,0.02,2.971,3.122
2875,4.442,3.104,1.815,0.915,0.9,0.496,1.111,8.162,0.11,0.114,17.362,0.664,-1.406,1,HR,Smallpox,0.061,2.627,3.527
2876,2.888,1.111,0.654,0.548,0.106,0.162,9.42,9.364,0.011,0.087,10.759,0.883,0.205,1,HR,Smallpox,0.017,2.234,2.34
2877,3.591,1.685,0.653,0.672,-0.019,-0.029,1,8.351,-0.002,0.138,16.329,0.153,1.256,1,HR,Smallpox,-0.004,2.937,2.918
2878,1.36,0.89,0.454,0.321,0.134,0.294,7.486,7.355,0.018,0.078,24.885,0.102,0.145,1,HR,Smallpox,0.04,0.906,1.039
2879,3.659,2.616,1.187,0.821,0.366,0.308,2.733,7.566,0.048,0.15,26.226,0.354,-0.981,1,HR,Smallpox,0.041,2.471,2.837
2880,2.814,1.776,0.922,0.537,0.385,0.417,2.6,8.449,0.046,0.104,17.572,0.271,-0.042,1,HR,Smallpox,0.049,1.893,2.277
2881,4.931,2.155,1.038,0.991,0.047,0.045,21.348,8.844,0.005,0.11,12.893,0.044,1.739,1,HR,Smallpox,0.005,3.893,3.94
2882,3.591,1.894,0.859,0.596,0.263,0.306,3.798,8.865,0.03,0.064,14.649,0.348,0.375,1,HR,Smallpox,0.035,2.732,2.995
2883,2.15,1.419,0.709,0.482,0.228,0.321,4.391,8.532,0.027,0.056,18.145,0.208,-0.203,1,HR,Smallpox,0.038,1.44,1.668
2884,2.13,1.465,0.629,0.515,0.114,0.182,8.754,7.605,0.015,0.131,27.416,0.09,0.152,1,HR,Smallpox,0.024,1.501,1.615
2885,1.592,0.919,0.445,0.258,0.187,0.421,5.336,9.088,0.021,0.15,13.961,0.209,0.22,1,HR,Smallpox,0.046,1.147,1.334
2886,2.852,1.739,0.806,0.532,0.274,0.34,3.656,8.167,0.033,0.091,20.07,0.4,-0.152,1,HR,Smallpox,0.042,2.046,2.319
2887,4.297,2.638,1.247,0.835,0.411,0.33,2.431,8.482,0.048,0.088,20.066,0.006,0.554,1,HR,Smallpox,0.039,3.051,3.462
2888,4.49,2.605,1.282,0.843,0.439,0.342,2.279,8.348,0.053,0.111,17.873,0.391,-0.044,1,HR,Smallpox,0.041,3.208,3.646
2889,3.314,2.07,1.166,0.447,0.719,0.617,1.391,9.093,0.079,0.112,15.015,0.667,-0.933,1,HR,Smallpox,0.068,2.148,2.867
2890,3.473,1.869,0.643,0.618,0.026,0.04,38.582,8.223,0.003,0.08,13.921,0,0.965,1,HR,Smallpox,0.005,2.83,2.856
2891,3.044,1.827,1.02,0.603,0.416,0.408,2.402,9.339,0.045,0.132,13.252,0.387,-0.11,1,HR,Smallpox,0.044,2.025,2.441
2892,4.288,2.933,1.527,0.913,0.614,0.402,1.629,7.934,0.077,0.085,20.397,0.383,-0.883,1,HR,Smallpox,0.051,2.761,3.376
2893,1.839,1.223,0.571,0.351,0.22,0.386,4.538,8.178,0.027,0.103,23.205,0.267,-0.328,1,HR,Smallpox,0.047,1.268,1.489
2894,4.305,2.048,0.874,0.824,0.05,0.057,19.944,8.81,0.006,0.088,14.596,0.35,0.788,1,HR,Smallpox,0.007,3.431,3.481
2895,4.814,2.767,1.194,1.077,0.117,0.098,8.523,7.58,0.015,0.075,20.78,0.024,0.829,1,HR,Smallpox,0.013,3.62,3.737
2896,3.73,2.243,1.143,0.744,0.399,0.349,2.506,8.612,0.046,0.15,19.685,0.635,-0.607,1,HR,Smallpox,0.041,2.586,2.986
2897,1.345,0.799,0.371,0.326,0.045,0.121,22.186,7.555,0.006,0.12,22.082,0.007,0.803,1,HR,Smallpox,0.016,0.974,1.019
2898,1.404,0.907,0.335,0.258,0.077,0.23,12.996,7.822,0.01,0.102,19.603,0.14,0.464,1,HR,Smallpox,0.029,1.069,1.146
2899,1.406,0.938,0.492,0.307,0.185,0.376,5.414,8.416,0.022,0.088,19.955,0.412,-0.853,1,HR,Smallpox,0.045,0.914,1.099
2900,4.722,2.845,1.157,0.986,0.171,0.148,5.833,7.936,0.022,0.082,20.935,0.001,0.697,1,HR,Smallpox,0.019,3.565,3.737
2901,1.739,1.087,0.524,0.374,0.15,0.286,6.658,8.614,0.017,0.064,17.193,0.362,-0.375,1,HR,Smallpox,0.033,1.214,1.364
2902,3.304,2.644,1.555,0.753,0.802,0.516,1.247,7.356,0.109,0.185,24.338,0.414,-2.365,1,HR,Smallpox,0.07,1.749,2.551
2903,2.011,0.922,0.49,0.257,0.234,0.477,4.281,9.564,0.024,0.07,12.051,0.605,0.276,1,HR,Smallpox,0.05,1.521,1.755
2904,1.724,1.01,0.524,0.272,0.252,0.481,3.97,8.426,0.03,0.121,18.117,0.569,-0.44,1,HR,Smallpox,0.057,1.2,1.452
2905,4.51,2.79,1.409,0.933,0.475,0.337,2.104,7.728,0.062,0.08,19.166,0.006,0.477,1,HR,Smallpox,0.044,3.101,3.576
2906,2.868,1.022,0.607,0.53,0.077,0.127,12.986,9.685,0.008,0.075,9.905,0.943,0.284,1,HR,Smallpox,0.013,2.262,2.339
2907,1.254,0.703,0.236,0.255,-0.019,-0.08,1,8.598,-0.002,0.089,19.872,0.196,0.702,1,HR,Smallpox,-0.009,1.018,0.999
2908,1.63,0.842,0.449,0.262,0.187,0.417,5.344,9.907,0.019,0.096,12.148,0.517,0.16,1,HR,Smallpox,0.042,1.181,1.368
2909,3.652,2.383,1.279,0.721,0.558,0.436,1.793,8.368,0.067,0.107,19.349,0.54,-0.881,1,HR,Smallpox,0.052,2.372,2.93
2910,3.811,2.099,0.741,0.761,-0.02,-0.027,1,8.414,-0.002,0.093,17.478,0.011,0.883,1,HR,Smallpox,-0.003,3.07,3.05
2911,4.449,2.864,1.38,0.855,0.525,0.381,1.903,8.177,0.064,0.092,21.81,0.29,-0.149,1,HR,Smallpox,0.047,3.069,3.595
2912,1.943,1.062,0.39,0.319,0.071,0.182,14.111,8.372,0.008,0.074,15.156,0.07,0.97,1,HR,Smallpox,0.022,1.554,1.625
2913,4.19,2.467,1.351,0.862,0.489,0.362,2.045,8.662,0.056,0.084,16.345,0.58,-0.368,1,HR,Smallpox,0.042,2.838,3.327
2914,1.861,0.7,0.308,0.29,0.018,0.058,55.624,9.408,0.002,0.146,11.76,0.419,1.373,1,HR,Smallpox,0.006,1.553,1.571
2915,2.592,1.441,0.616,0.462,0.154,0.25,6.494,8.101,0.019,0.085,16.533,0.19,0.426,1,HR,Smallpox,0.031,1.976,2.13
2916,3.886,2.407,1.065,0.85,0.215,0.202,4.649,7.881,0.027,0.083,19.506,0.146,0.366,1,HR,Smallpox,0.026,2.822,3.037
2917,2.065,0.929,0.337,0.308,0.029,0.086,34.389,8.895,0.003,0.107,16.078,0.468,0.618,1,HR,Smallpox,0.01,1.728,1.757
2918,3.032,2.144,1.217,0.717,0.499,0.41,2.003,7.403,0.067,0.171,25.607,0.55,-1.801,1,HR,Smallpox,0.055,1.815,2.315
2919,2.646,1.376,0.655,0.481,0.174,0.265,5.762,8.851,0.02,0.142,12.356,0.112,0.626,1,HR,Smallpox,0.03,1.991,2.164
2920,2.977,1.56,0.697,0.591,0.106,0.152,9.406,8.088,0.013,0.103,19.502,0.301,0.454,1,HR,Smallpox,0.019,2.28,2.386
2921,2.816,1.915,1.053,0.564,0.489,0.464,2.045,8.275,0.059,0.122,16.516,0.338,-0.6,1,HR,Smallpox,0.056,1.764,2.253
2922,2.12,0.781,0.465,0.421,0.043,0.093,23.168,9.164,0.005,0.096,12.594,0.57,0.796,1,HR,Smallpox,0.01,1.655,1.698
2923,2.409,1.658,0.776,0.496,0.28,0.361,3.572,7.917,0.035,0.144,24.297,0.297,-0.493,1,HR,Smallpox,0.046,1.633,1.913
2924,4.606,3.048,1.679,1.011,0.669,0.398,1.496,8.108,0.082,0.113,21.319,0.536,-1.015,1,HR,Smallpox,0.049,2.927,3.595
2925,2.654,1.851,0.997,0.532,0.465,0.466,2.15,8.245,0.056,0.074,20.122,0.105,-0.199,1,HR,Smallpox,0.057,1.656,2.121
